Date,Close
2005-04-19,100.55
2005-04-20,99.12
2005-04-21,101.06
2005-04-22,100.68
2005-04-25,101.33
2005-04-26,100.36
2005-04-27,100.75
2005-04-28,99.488
2005-04-29,100.84
2005-05-02,101.4
2005-05-03,101.58
2005-05-04,102.37
2005-05-05,102.33
2005-05-06,102.0
2005-05-09,102.64
2005-05-10,101.58
2005-05-11,102.14
2005-05-12,101.02
2005-05-13,100.81
2005-05-16,101.75
2005-05-17,102.43
2005-05-18,103.49
2005-05-19,103.92
2005-05-20,103.77
2005-05-23,104.35
2005-05-24,104.11
2005-05-25,104.03
2005-05-26,104.57
2005-05-27,104.75
2005-05-31,104.09
2005-06-01,104.98
2005-06-02,105.21
2005-06-03,104.65
2005-06-06,104.56
2005-06-07,104.64
2005-06-08,104.46
2005-06-09,104.96
2005-06-10,104.7
2005-06-13,105.05
2005-06-14,105.3
2005-06-15,105.49
2005-06-16,105.76
2005-06-17,105.74
2005-06-20,105.76
2005-06-21,105.83
2005-06-22,105.91
2005-06-23,104.42
2005-06-24,103.65
2005-06-27,103.8
2005-06-28,104.65
2005-06-29,104.4
2005-06-30,103.82
2005-07-01,104.13
2005-07-05,104.97
2005-07-06,104.09
2005-07-07,104.5
2005-07-08,105.7
2005-07-11,106.22
2005-07-12,106.49
2005-07-13,106.65
2005-07-14,107.09
2005-07-15,107.02
2005-07-18,106.57
2005-07-19,107.17
2005-07-20,107.55
2005-07-21,106.92
2005-07-22,107.64
2005-07-25,107.33
2005-07-26,107.47
2005-07-27,107.85
2005-07-28,108.51
2005-07-29,107.8
2005-08-01,107.73
2005-08-02,108.35
2005-08-03,108.65
2005-08-04,107.79
2005-08-05,107.06
2005-08-08,106.85
2005-08-09,107.51
2005-08-10,107.46
2005-08-11,107.88
2005-08-12,107.21
2005-08-15,107.88
2005-08-16,106.45
2005-08-17,106.44
2005-08-18,106.43
2005-08-19,106.68
2005-08-22,106.68
2005-08-23,106.48
2005-08-24,105.55
2005-08-25,105.92
2005-08-26,105.21
2005-08-29,106.01
2005-08-30,105.46
2005-08-31,106.79
2005-09-01,106.7
2005-09-02,106.5
2005-09-06,107.77
2005-09-07,107.93
2005-09-08,107.61
2005-09-09,108.54
2005-09-12,108.31
2005-09-13,107.74
2005-09-14,107.35
2005-09-15,107.29
2005-09-16,107.61
2005-09-19,107.23
2005-09-20,106.31
2005-09-21,105.35
2005-09-22,105.72
2005-09-23,105.8
2005-09-26,105.91
2005-09-27,105.89
2005-09-28,106.0
2005-09-29,106.86
2005-09-30,107.19
2005-10-03,106.81
2005-10-04,105.61
2005-10-05,104.22
2005-10-06,103.84
2005-10-07,104.2
2005-10-10,103.32
2005-10-11,103.17
2005-10-12,102.37
2005-10-13,102.3
2005-10-14,103.38
2005-10-17,103.76
2005-10-18,102.64
2005-10-19,104.35
2005-10-20,102.52
2005-10-21,102.92
2005-10-24,104.51
2005-10-25,104.29
2005-10-26,104.0
2005-10-27,102.89
2005-10-28,104.37
2005-10-31,104.64
2005-11-01,104.97
2005-11-02,106.07
2005-11-03,106.5
2005-11-04,106.36
2005-11-07,106.47
2005-11-08,106.47
2005-11-09,106.61
2005-11-10,107.47
2005-11-11,107.82
2005-11-14,107.76
2005-11-15,107.37
2005-11-16,107.6
2005-11-17,108.57
2005-11-18,109.01
2005-11-21,109.57
2005-11-22,110.03
2005-11-23,110.66
2005-11-25,110.75
2005-11-28,109.96
2005-11-29,109.83
2005-11-30,109.26
2005-12-01,110.37
2005-12-02,110.5
2005-12-05,110.27
2005-12-06,110.47
2005-12-07,109.82
2005-12-08,109.75
2005-12-09,110.05
2005-12-12,110.16
2005-12-13,110.91
2005-12-14,111.35
2005-12-15,111.03
2005-12-16,110.08
2005-12-19,109.53
2005-12-20,109.62
2005-12-21,109.77
2005-12-22,110.37
2005-12-23,110.42
2005-12-27,109.32
2005-12-28,109.57
2005-12-29,109.07
2005-12-30,108.45
2006-01-03,110.38
2006-01-04,110.9
2006-01-05,110.97
2006-01-06,111.89
2006-01-09,112.18
2006-01-10,112.29
2006-01-11,112.66
2006-01-12,112.21
2006-01-13,112.1
2006-01-17,111.78
2006-01-18,111.36
2006-01-19,111.76
2006-01-20,109.73
2006-01-23,110.13
2006-01-24,110.25
2006-01-25,110.34
2006-01-26,110.96
2006-01-27,111.97
2006-01-30,111.89
2006-01-31,111.09
2006-02-01,111.84
2006-02-02,110.54
2006-02-03,110.0
2006-02-06,110.29
2006-02-07,109.33
2006-02-08,110.3
2006-02-09,110.12
2006-02-10,110.32
2006-02-13,110.12
2006-02-14,111.29
2006-02-15,111.67
2006-02-16,112.52
2006-02-17,112.22
2006-02-21,111.93
2006-02-22,112.62
2006-02-23,112.44
2006-02-24,112.74
2006-02-27,112.78
2006-02-28,111.7
2006-03-01,112.71
2006-03-02,112.7
2006-03-03,112.18
2006-03-06,111.64
2006-03-07,111.5
2006-03-08,111.71
2006-03-09,110.97
2006-03-10,112.02
2006-03-13,112.24
2006-03-14,113.41
2006-03-15,113.91
2006-03-16,114.15
2006-03-17,113.79
2006-03-20,113.61
2006-03-21,112.89
2006-03-22,113.58
2006-03-23,113.36
2006-03-24,113.44
2006-03-27,113.27
2006-03-28,112.58
2006-03-29,113.28
2006-03-30,113.08
2006-03-31,113.11
2006-04-03,113.01
2006-04-04,113.74
2006-04-05,114.13
2006-04-06,114.0
2006-04-07,112.84
2006-04-10,113.02
2006-04-11,112.06
2006-04-12,112.28
2006-04-13,112.13
2006-04-17,112.08
2006-04-18,113.86
2006-04-19,114.07
2006-04-20,114.24
2006-04-21,114.26
2006-04-24,114.04
2006-04-25,113.57
2006-04-26,113.6
2006-04-27,114.15
2006-04-28,114.53
2006-05-01,113.6
2006-05-02,114.45
2006-05-03,114.02
2006-05-04,114.43
2006-05-05,115.44
2006-05-08,115.3
2006-05-09,115.53
2006-05-10,115.47
2006-05-11,114.07
2006-05-12,112.59
2006-05-15,112.82
2006-05-16,112.66
2006-05-17,110.5
2006-05-18,109.94
2006-05-19,110.72
2006-05-22,109.87
2006-05-23,109.05
2006-05-24,109.9
2006-05-25,111.27
2006-05-26,111.83
2006-05-30,109.84
2006-05-31,111.1
2006-06-01,112.15
2006-06-02,112.37
2006-06-05,110.74
2006-06-06,110.46
2006-06-07,109.63
2006-06-08,109.57
2006-06-09,109.21
2006-06-12,108.01
2006-06-13,106.76
2006-06-14,107.61
2006-06-15,109.86
2006-06-16,108.58
2006-06-19,107.75
2006-06-20,108.1
2006-06-21,108.91
2006-06-22,108.41
2006-06-23,108.4
2006-06-26,108.89
2006-06-27,107.93
2006-06-28,108.68
2006-06-29,110.88
2006-06-30,110.84
2006-07-03,111.34
2006-07-05,110.7
2006-07-06,111.03
2006-07-07,110.29
2006-07-10,110.5
2006-07-11,111.0
2006-07-12,109.79
2006-07-13,108.01
2006-07-14,107.63
2006-07-17,107.47
2006-07-18,107.99
2006-07-19,109.52
2006-07-20,108.75
2006-07-21,107.97
2006-07-24,109.94
2006-07-25,110.34
2006-07-26,110.48
2006-07-27,110.38
2006-07-28,111.51
2006-07-31,111.38
2006-08-01,110.84
2006-08-02,111.58
2006-08-03,111.87
2006-08-04,111.67
2006-08-07,111.48
2006-08-08,111.0
2006-08-09,110.61
2006-08-10,110.97
2006-08-11,110.64
2006-08-14,110.73
2006-08-15,112.05
2006-08-16,113.07
2006-08-17,113.28
2006-08-18,113.85
2006-08-21,113.38
2006-08-22,113.37
2006-08-23,113.04
2006-08-24,112.94
2006-08-25,113.09
2006-08-28,113.63
2006-08-29,113.76
2006-08-30,113.83
2006-08-31,113.81
2006-09-01,114.48
2006-09-05,114.71
2006-09-06,113.69
2006-09-07,113.18
2006-09-08,113.5
2006-09-11,113.61
2006-09-12,114.72
2006-09-13,115.2
2006-09-14,115.21
2006-09-15,114.96
2006-09-18,115.13
2006-09-19,114.83
2006-09-20,115.44
2006-09-21,114.88
2006-09-22,114.53
2006-09-25,115.41
2006-09-26,116.35
2006-09-27,116.5
2006-09-28,116.46
2006-09-29,116.35
2006-10-02,115.93
2006-10-03,116.18
2006-10-04,117.54
2006-10-05,117.75
2006-10-06,117.61
2006-10-09,117.66
2006-10-10,117.83
2006-10-11,117.68
2006-10-12,118.73
2006-10-13,119.04
2006-10-16,119.22
2006-10-17,118.85
2006-10-18,119.01
2006-10-19,119.19
2006-10-20,119.22
2006-10-23,119.74
2006-10-24,120.12
2006-10-25,120.53
2006-10-26,120.89
2006-10-27,120.15
2006-10-30,120.06
2006-10-31,120.04
2006-11-01,119.24
2006-11-02,119.16
2006-11-03,118.97
2006-11-06,120.29
2006-11-07,120.77
2006-11-08,121.01
2006-11-09,120.38
2006-11-10,120.43
2006-11-13,120.74
2006-11-14,121.63
2006-11-15,121.98
2006-11-16,122.31
2006-11-17,122.35
2006-11-20,122.41
2006-11-21,122.52
2006-11-22,122.76
2006-11-24,122.28
2006-11-27,120.6
2006-11-28,121.11
2006-11-29,122.39
2006-11-30,122.43
2006-12-01,122.16
2006-12-04,123.08
2006-12-05,123.62
2006-12-06,123.51
2006-12-07,122.96
2006-12-08,123.2
2006-12-11,123.56
2006-12-12,123.45
2006-12-13,123.59
